price,square_feet,bedrooms,bathrooms,cat_apart,cat_home,cat_short,clubhouse,fireplace,gated,balcony,sport,gym,pool,parking,laundry,tv,elevator,wood_floor,pets_allowed,metro_area,source,id
1970,830,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,rentdigs,5509259293
2305,1036,2,2,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,rentdigs,5509258640
1271,1020,2,2,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,rentdigs,5508967676
890,678,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,rentdigs,5509152877
900,583,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,rentlingo,5668631624
2027,751,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,rentdigs,5509090212
1100,1118,3,2,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,rentdigs,5658293123
1615,952,2,2,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5508744961
1065,893,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5509248822
1050,893,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5509249454
1145,1136,2,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5509245102
1105,1136,2,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5509244985
1065,1136,2,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5509251319
1175,1173,2,2,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5509250784
1225,720,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5508746757
795,725,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,rentdigs,5509246180
960,800,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,rentdigs,5509243996
1150,850,2,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,rentdigs,5509244724
1135,850,2,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,rentdigs,5509247993
1065,850,2,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,rentdigs,5509248764
1010,875,2,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,rentdigs,5509249769
1050,1129,3,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,rentdigs,5656369135
705,700,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,rentdigs,5509206094
805,900,2,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,rentdigs,5509206377
690,872,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,rentdigs,5508883644
1560,200,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,listedbuy,5659276240
1560,200,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,rentdigs,5654898031
1030,1254,2,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,rentdigs,5509157362
1550,1100,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,rentdigs,5508797342
1340,733,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,rentdigs,5509125947
1410,915,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,rentdigs,5509125154
1181,775,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,rentdigs,5509024877
1120,775,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,rentdigs,5509025095
1689,846,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,rentdigs,5509019958
1327,846,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,rentdigs,5509021994
1277,846,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,rentdigs,5509022554
1402,948,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,rentdigs,5509023700
695,760,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,rentdigs,5508793990
775,860,2,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,rentdigs,5508795411
775,860,2,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,rentdigs,5508793097
895,1100,2,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,rentdigs,5508798351
895,1100,2,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,rentdigs,5508789075
895,1100,2,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,rentdigs,5508789109
895,1100,2,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,rentdigs,5508797420
1077,945,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,rentdigs,5509155874
919,1075,2,2,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,rentdigs,5509155058
1310,774,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,rentdigs,5509240251
965,665,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,rentdigs,5509257437
1267,580,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,rentdigs,5508757656
1240,725,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,rentdigs,5509079866
930,700,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,rentdigs,5515831377
1017,687,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,rentdigs,5509028896
985,895,2,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,rentdigs,5508912150
1049,1000,2,2,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,rentdigs,5508913441
1625,1260,2,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,rentdigs,5509050858
1289,875,2,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,rentdigs,5509049009
1249,875,2,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,rentdigs,5508874443
1163,1034,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,rentdigs,5509158337
655,1016,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,rentdigs,5508881486
1431,1200,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rentdigs,5508934259
1818,451,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,rentdigs,5661066239
2325,700,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,rentdigs,5508828320
1570,815,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,rentdigs,5509235104
2201,1471,3,2,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,rentdigs,5509233537
2440,649,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,rentdigs,5508818772
3120,983,2,2,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,rentdigs,5508819006
1110,850,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,rentdigs,5508978072
1145,959,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,rentdigs,5508977113
1145,999,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,rentdigs,5508982446
1460,1136,2,2,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,rentdigs,5508979867
1495,546,2,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,rentdigs,5509053021
1475,785,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,rentdigs,5509054097
1645,825,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,rentdigs,5509055483
1695,900,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,rentdigs,5509051207
1550,900,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,rentdigs,5509055033
1580,922,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,rentdigs,5509052916
1920,1076,2,2,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,rentdigs,5509054259
1800,1076,2,2,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,rentdigs,5509055292
1800,1076,2,2,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,rentdigs,5509050602
1845,1058,2,2,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,rentdigs,5509201929
1910,1077,2,2,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,rentdigs,5509194939
1835,1077,2,2,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,rentdigs,5509195376
1850,1098,2,2,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,rentdigs,5509192960
1840,1098,2,2,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,rentdigs,5509200499
1455,976,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,rentdigs,5509056846
1420,1155,3,2,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,rentdigs,5508696001
1419,1294,2,2,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,rentdigs,5509136264
650,610,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5508800439
969,833,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5508982957
949,802,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,rentdigs,5508978740
1344,1122,2,2,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,rentdigs,5508977856
914,701,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,rentdigs,5508879295
1499,1388,3,2,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,rentdigs,5508879929
2455,1613,4,3,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,rentdigs,5509185099
2434,1613,4,3,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,rentdigs,5509184661
991,519,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509277418
1128,914,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,rentdigs,5509061809
799,620,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,rentdigs,5660300015
1210,473,2,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,rentdigs,5508802076
832,710,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,rentdigs,5509239158
966,760,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,rentdigs,5509106545
1600,1098,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,rentdigs,5666447524
1240,1071,2,2,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,rentdigs,5509070014
917,497,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,listedbuy,5661938247
1186,649,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,rentdigs,5509057187
1450,1022,2,2,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5509239849
888,1015,2,2,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,rentdigs,5508830159
969,974,2,2,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,rentdigs,5509119090
1099,1046,2,2,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509119728
1260,732,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5508752029
1180,732,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5508754781
1285,899,2,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5508747324
925,745,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,rentdigs,5509216561
925,782,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,rentdigs,5509215786
1005,913,2,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,rentdigs,5509217631
1075,1020,2,2,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,rentdigs,5509206206
1355,696,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,rentdigs,5508721924
2005,1088,2,2,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,rentdigs,5508714195
1205,796,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,rentdigs,5508760921
1204,775,2,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,rentdigs,5508839628
3150,1460,3,2,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509072471
963,1085,2,2,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,rentdigs,5508765304
1179,1443,3,2,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,rentdigs,5508765319
799,1047,2,2,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,rentdigs,5666448089
590,640,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,rentdigs,5509137939
710,1008,2,2,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,rentdigs,5509137275
1130,683,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,rentdigs,5508813107
1060,1036,2,2,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5508744085
1062,1154,2,2,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5508745213
1445,927,2,2,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5509144443
1440,927,2,2,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5509137090
1107,957,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,rentdigs,5509184569
1294,1304,2,2,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,rentdigs,5509187702
1400,1610,2,2,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,rentdigs,5509182777
931,770,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,rentdigs,5509028942
655,700,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,rentdigs,5509209308
765,900,2,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,rentdigs,5509209167
499,400,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,rentdigs,5508658972
1375,1044,2,2,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,rentdigs,5508773927
1445,1179,2,2,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,rentdigs,5509015810
990,528,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,rentdigs,5509175670
1060,571,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,rentdigs,5509172677
1030,580,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,rentdigs,5509174732
1100,594,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,rentdigs,5509174713
1110,602,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,rentdigs,5509174956
1215,743,2,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,rentdigs,5509173117
1295,884,2,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,rentdigs,5509172293
1205,884,2,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,rentdigs,5509173534
1735,1405,2,2,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,rentdigs,5509033598
1780,1412,2,2,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,rentdigs,5509033609
1565,1540,3,2,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,rentdigs,5509042286
1821,1244,3,2,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,rentdigs,5509017819
1420,830,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,rentdigs,5508718206
1539,880,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,rentdigs,5508716174
1200,1130,2,2,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,rentdigs,5508885782
1380,797,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,rentdigs,5508857220
851,620,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,rentdigs,5508671891
875,855,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,rentdigs,5509230759
2160,500,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,rentdigs,5508897640
2135,725,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,rentdigs,5508832745
2905,1100,2,2,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,rentdigs,5508787323
4570,1236,2,2,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,rentdigs,5509042052
7900,1170,2,2,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,rentdigs,5508844986
2750,662,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,rentdigs,5508837077
7500,1931,3,2,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,rentdigs,5508905728
3160,742,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,rentdigs,5508761971
3825,1214,2,2,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,rentdigs,5508762039
2820,1017,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,rentdigs,5508904926
1390,1028,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,rentdigs,5509125473
1540,1051,2,2,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,rentdigs,5509121467
2624,668,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,rentdigs,5508710559
1615,495,2,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,rentdigs,5509157579
1665,498,2,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,rentdigs,5509163049
1925,757,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,rentdigs,5509169206
2050,759,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,rentdigs,5509158838
1750,770,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,rentdigs,5509152528
1407,637,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,rentdigs,5509030395
1265,659,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,rentdigs,5508666628
1346,825,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,rentdigs,5508671217
2995,1125,2,2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,rentdigs,5509041299
2515,850,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,rentdigs,5509008233
2605,1070,2,2,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,rentdigs,5509007148
1855,914,2,2,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,rentdigs,5509102227
1815,1062,2,2,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,rentdigs,5509099530
3950,704,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,listanza,5668662370
1100,550,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,rentdigs,5508742663
619,598,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,rentdigs,5509022513
1475,1025,2,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,rentdigs,5652840847
1550,1034,2,2,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5508809071
1490,1034,2,2,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5508815539
1240,814,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509123496
897,788,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,rentdigs,5508971786
985,1214,3,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,rentdigs,5653496516
1275,1065,2,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,rentdigs,5509078515
1275,1065,2,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,rentdigs,5509077475
860,945,2,2,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,rentdigs,5508802588
1410,1300,3,2,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509215154
2600,2000,2,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,rentocular,5667517144
1145,700,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,rentdigs,5509057805
880,700,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,rentdigs,5509075415
1025,1050,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,rentdigs,5509182997
2380,1000,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,rentdigs,5662495592
1845,850,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,rentdigs,5509130057
1436,671,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,rentdigs,5508683681
1100,1090,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,rentdigs,5509062971
1245,780,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,rentdigs,5508750013
1939,1008,2,2,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,rentdigs,5509209465
1000,655,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,rentdigs,5646685204
1155,840,2,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,rentdigs,5509038769
1295,735,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,rentdigs,5509027960
1200,717,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5508790803
700,673,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,rentdigs,5508657770
1555,1000,2,2,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,rentdigs,5509158983
615,668,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,rentdigs,5508657700
